no,word,target
1,ทุกคนขาา เราอยากนัดประชุมใหญ่ทริปภาควันพุธนี้ตอน 13.00 น. เพื่อนๆว่างกันมั้ย,1
2,เราขอแรงเพื่อนมาทำงานฝ่ายรปภ.ในงานรับน้องก้าวใหม่หน่อย ขอ 5 คนนะ,1
3,ประกาศจ้าา! เรื่องถ่ายรูปของงาน vidweek ของเราเป็นถ่ายวันที่ 4 ก.ค. 16.00-18.00 น.น้าา,1
4,ทุกคนงานvidweek  ปีนี้คณะเรามีให้ถ่ายรูปเพื่อให้เอาไปเปลี่ยนพร้อมกรอบในfacebook ให้เข้าตรีม มีใครอยากไปถ่ายป่าว มีเวลาตามนี้,1
5,วันศุกร์นี้มีงานจับสายรหัสนะ 15.30-16.00 น.จ้าา,1
6,"📣📣 VIDWEEK IS COMING
และตอนนี้เทศกาลรับน้องใหม่ คณะวิทยาศาสตร์หรือว่า VIDWEEK 2019 ของเราก็ใกล้เข้ามาทุกที่แล้วนะครับ 
ก่อนอื่นเลย เราต้องมาประกาศธีมก่อนก่อนเลยว่า VIDWEEK ของเราในปีนี้นั้น มาในธีม!

🌌 “VIDYA AGRABAH”🌌 ‼️

ซึ่ง อ่านว่า วิทยา อัคราบานะครับ อัคราบาก็คือเมืองของเจ้าหญิงจัสมินกับเจ้าชายอลาดินในเรื่องอลาดินนั่นเอง",1
7,จับสายรหัสน้องวันศุกร์นี้นะค้าาาา,1
8,"สำหรับงานสถานที่เฟิร์สเดตวันนี้น้าา
⏰ ลทบ.ใต้ไซน์ 11.00 น.
🍚 มีข้าวแจกจ้าา ✨

มากันเยอะๆน้าาา 💕",1
9,สถานที่ประชุมได้เป็น True Space สยามซอย 2 นะครับ,1
10,"ทุกคน งานสถานที่เฟิร์สเดตพรุ่งนี้ขอเลื่อนเวลานัดเป็น 15.00 น. น้าา
📍เจอกันใต้ไซน์
🍚มีข้าวให้ด้วยนะ ✨

มาช่วยกันเยอะๆน้าาา",1
11,ทุกคน ถ้ายังไม่ได้ข้อสรุปว่าเซคไหน ครูจะยุบให้เหลือเซค 1 แล้วนะ,1
12,วิชา OS มันมี 2 เซคแต่อ.ชัชต้องการจะยุบให้เหลือเซคเดียว,1
13,ทุกคนน เราขอความร่วมมืองานเฟิร์สเดตหน่อย,1
14,สำหรับงานวิดวีค เราได้ทำออกแบบป้ายชื่อด้วย ขอคนออกแบบป้ายชื่อสำหรับงานวิดวีคด้วยน้าา,1
15,ขอแรงเพื่อนๆ มาช่วยทำงานสถานที่ในวันเฟิร์สเดตหน่อยจ้าา,1
16,น้องๆฝากแจ้งมาว่าเสื้อเฟิร์สมีตสั่งได้ถึงวันที่12นะค้าบ ❤,1
17,"ลงชื่อคนที่จะไปช่วยงานเฟิร์สเดต ฝ่ายสถานที่จ้าา

รายละเอียด
• 21 มิย. 13.00-16.00 (เลทถึง 18.00 ได้ถ้าไม่ทัน)
- ขนของมาลานพระบรมและใต้ไซน์ (มีรถกระบะช่วยขน)
   — ลานพระบรม ตั้งเต้นท์ คัทเอ้าท์
   — ใต้ไซน์ ตั้งเวทีหน้า Tealicious
• 22 มิย. 12.00-16.00
- เคลียร์สถานที่ทั้ง 2 ที่

ขอยอดที่ 20 คนจ้าา",1
18,"📍ประกาศ
ขอแรงเพื่อนๆ 20 คน มาช่วยงานฝ่ายสถานที่ในงานเฟิร์สเดตหน่อยจ้า",1
19,"ประกาศ!!
เสื้อเฟิร์สมีทประจำปี 62 ออกมาแล้วจ้าา 🎉
💸 ตัวละ 250 บาทเท่านั้น",1
20,"สวัสดีตอนเกือบเที่ยงๆเน่อ
อย่าลืมไปกรอกฟอร์มลงทะเบียนทริปภาคเน้ออ
✅ไป ไม่ไป ก็ต้องกรอกนะคร้าบ ยึดจากตัวนี้เป็นหลัก
🔥เนื่องจากเพื่อนบางคนยังไม่ได้กรอกชื่อ ถ้าหมดเวลาเราจะถือว่าตัดสินใจไปทริปภาคนะครับ
⏱เหลือเวลาแค่เย็นนี้แล้วน้า
👇👇จิ้มได้เลยจ้า
https://forms.gle/zwt2Kh2QWwo1kNkN8",1
21,"สวัสดียามเช้า(?)น้าทุกคนน
อย่าลืมไปกรอกฟอร์มลงทะเบียนทริปภาคเน้ออ
✅ไป ไม่ไป ก็ต้องกรอกนะคร้าบ ยึดจากตัวนี้เป็นหลัก
⏱เหลือวันนี้แล้วก็คืนพรุ่งนี้แล้วน้า
👇👇จิ้มได้เลยจ้า
https://forms.gle/zwt2Kh2QWwo1kNkN8",1
22,"🏝แบบฟอร์มลงทะเบียนสำหรับเข้าร่วมกิจกรรมทริปภาค2019 

รบกวนเพื่อนๆทุกคนช่วยเข้าไปกรอกแบบฟอร์มทั้งคนที่จะไปและ ‘ไม่ไป’ 

✅ภายในวันพฤหัสบดีที่ 30 พ.ค เวลา 23.59 น.
💖รายละเอียดต่างๆจะแจ้งให้ทราบต่อไป ขอบคุณสำหรับความร่วมมือค่า
https://forms.gle/zwt2Kh2QWwo1kNkN8",1
23,"📌 ทุกคนน อีกสองเดือนก็ทริปภาคแล้ว เรามาขอแรงทุกคนช่วยกันทำทริปหน่อยน้าาา มีฝ่ายตามนี้เลย

ฝ่ายกิจกรรม
- ดูแลเรื่องกิจกรรมทุกอย่างในทริป ทั้งคิดกิจกรรม เตรียมเกมต่างๆ ขอคนเยอะๆหน่อยน้า 😢

ฝ่ายทะเบียน
- เช็คชื่อพี่&น้อง ดูแลเรื่องเอกสาร งานจะหนักช่วงก่อนทริป พอเสร็จแล้วจะกระจายไปเป็นพี่กลุ่มน้า

ฝ่ายสถานที่
- ดูแลความเรียบร้อย&เตรียมความพร้อมของสถานที่ ex. เช็คห้องพักก่อน&หลังเข้าพัก เตรียมวถานที่บายศรี 

ฝ่ายพัสดุ
- ชื้อของและเช็คจำนวนของที่จำเป็น รวมถึงขอสปอนด้วย

ฝ่ายสวัสดิการ
- ตามชื่อเลยอะแหละ คอยดูแลเพื่อนๆ ดูแลน้องๆ (รวมพยาบาลด้วย) แล้วก็ ดูแลเรื่องของกิน น้ำ กระเป๋า ไรงี",1
24,"ประกาศจ้า
ขออาสาสมัครผู้ชาย 9-10 คน มาช่วยชิมอาหาร(งานวิจัยของภาคฟู้ด, เบทาโกร และ kikoman) ช่วงวันที่ 19-28 มิถุนายน(วันใดวันหนึ่งในช่วงนี้ เดี๋ยวนัดอีกที) ใช้เวลาทดสอบ 75 นาที 
เสร็จแล้วได้ของชำร่วยเป็น gift set จาก kikoman 
ใครสนใจก็ทักเรามาโลด",1
25,อันนี้เป็นฟอร์มข้อมูลติดต่อเพื่อนๆค้าบ พอดีนึกขึ้นได้ว่ายังไม่มีรวมข้อมูลติดต่อเพื่อนๆเลย,1
26,แต่ขอด่วนที่สุด!! เพราะอาจารย์ชัชวิทย์ขอเมลทุกคนไปส่งคะแนนจ้า,1
27,เพื่อนใครยังไม่ได้กดโหวต รบกวนถามให้หน่อยน้า,1
28,"เสนอตีมทริปภาคโพสต์นี้ค้าบ ตีมนี้จะใช้เป็นหลักเลยยยย เสนอตีมแล้วแบบขอรายละเอียดด้วยว่าเราทำอะไรกับตีมนี้ได้บ้าง อยากให้ตีมใช้ได้มากกว่าเป็นชื่อกลุ่มอ่า
ex.ตีมนักสืบ กิจกรรมสิบคดี ไรงี้ๆๆๆ",1
29,"ทุกคน วันนี้เราจะมาแจ้งเรื่องทริปภาคคคค
ตามแพลนเราคือเราจะให้เสนอตีมทริปภาควันนี้ - พรุ่งนี้เที่ยงๆ แล้วจะให้ทุกคนโหวตตีมน้า หลังจากนั้นเราจะรีครูทคนเข้าฝ่าย",1
30,เรามีเรื่องจะมาประชาสัมพันธ์อีกรอบจ้า วันเสาร์นี้ เรามีงานบายเนียร์ส่งพี่ปี4ไปเป็นบัณฑิตกันเน้อ ถ้าใครสนใจที่จะไป ทักไปหาพี่แป้งได้เลยจ้า,1
31,กราบสวัสดีเพื่อนๆทุกคนยามดึกจ้า ละก็ขอโทษตะกี้พิมพ์ผิด unsendแปป,1
32,มีใครจะไปงานบายเนียร์มั้ยค้าบบบ,1
33,"ฝากเพื่อนๆช่วยทำแบบประเมิน big cleaning หน่อยจ้า ยอดยังขาดอีกเยอะเยยเด้ออ 
https://forms.gle/Y9auEGkxp96tk2kG8 ;)",1
34,เริ่มทำความสะอาด 13.00 น. ภาคเรารับผิดชอบชั้น 7 กับห้องภาคเรานะ มาช่วยกันหน่อยน้า,1
35,สำหรับคนที่จะมาทำ ไปเจอกันห้องภาคชั้น 8 เลยน้า,1
36,พรุ่งนี้เราทำความสะอาด ตรงห้องภาค  ห้องคอมชั้น7. แล้วก็ตรงล็อคเกอร์นะ มาช่วยกันเยอะๆน้า,1
37,โครงการส่งเสริมความเป็นเลิศด้านการจัดการคุณภาพซอฟแวร์ ดูรายละเอียดได้ในไฟล์นี้นะ (hand pointing down),1
38,"ขอแรงคนช่วยซื้อของทำความสะอาด 5 คนค่าา

เจอกันที่ใต้ภาค บ่ายโมง นำทีม by ญี่ปุ่น @.uɐdɐɾ เด้อค่ะ",1
39,"ภาคเรากับแมทจะมีโครงการ Big Cleaning ในวันที่ 29 มี.ค.(ศุกร์หน้า)
ทำความสะอาดที่
1.ใต้ภาค
2.ห้องภาค
3.ห้องแลปชั้น 7
ขอกำลังคนมาช่วยกันทำความสะอาด 25 คนค่าา",1
40,เพื่อนๆพน.หลังเลิกคอมซิสขอแรงคนที่ไม่มีเรียนบ่ายไปช่วยเราทำความสะอาดห้องภาคหน่อยน้า 😃,1
41,เพื่อนๆ จาร prop/stat บอกว่าวันพฤหัสงดนะ  ส่วนแลปวันศุกร์ก็เรียนตามปกติเน่อ,1
42,ถึงเพื่อนๆทุกคน พน.ถ้าใครไม่มีเรียนบ่ายก็วานมาช่วยกันทำความสะอาดห้องภาคกันหน่อยนะ เดี๋ยวเราจะไปกันหลังเลิกเรียนคอมซิสนะ 😄,1
43,"ทางภาคจะจ้างคนมาทำเว็บใหม่ เลยอยากได้ความเห็นจากเพื่อนๆว่าอยากให้เว็บภาคมีอะไรบ้าง
กรอกได้ที่ลิ้งค์นี้เลยจ้า >> https://docs.google.com/spreadsheets/d/1JnWASIrcQdeKHACe0J7oGjEVe_WHchNjFAweGqzXR4Y/edit?usp=drivesdk",1
44,ฝากไปถามเพื่อนๆ หน่อย ภาคจะจ้างคนมาทำเว็บใหม่ นิสิต ต้องการให้เว็บภาคมีอะไรบ้าง,1
45,SE อ ฝากเอกสารมาให้ เป็นเอกสารอ่านประกอบ เกี่ยวกับ Software requirement,1
46,แจ้งเพิ่มเติมส่งข่าวเพื่อนๆ ด้วย ใครติดเรียน ตอนเที่ยงก็มาทานกลางวันนะ มีราดหน้าหมู กับ ก๋วยเตี๊ยวลูกชิ้นปลา สำหรับนิสิตภาคฯ,1
47,ประกาศย้ำๆนะคะ SE เปลี่ยนห้องเรียน ตั้งแต่วันที่ 29 มกราคม จาก TAB 221 เป็น ตึกมหาวชิรุณหิต(ตึกภาค) 809/3 จ้ะ,1
48,"วันพุธที่ 30 มกราคม 2562  ตั้งแต่ เวลา 10.00 น. ณ ห้อง 408/13   ชั้น 4 อาคารมหาวชิรุณหิศ
กำหนดการ
เวลา 10.00 น.  ลงทะเบียน
เวลา 10.20 น.  พระสงฆ์มาถึงสถานที่จัดงาน
เวลา 10.30 น.  ประธานจุดธูปเทียนบูชาพระรัตนตรัย พระสงฆ์เจริญพระพุทธมนต์
เวลา 11.00 น.  กล่าวคำถวายสังฆทานและถวายภัตตาหารเพล
เวลา 11.30 น.  ถวายจตุปัจจัยเครื่องไทยธรรมแด่พระสงฆ์ พระสงฆ์ให้โอวาทและให้พร ประพรมน้ำพระพุทธมนต์
เวลา 12.00 น.  ขอเชิญผู้ร่วมงานรับประทานอาหารร่วมกัน",1
49,อย่าลืมเตือนเพื่อนๆ นะ  ใครว่างมาร่วมงานทำบุญภาคฯ วันพุธที่ 30 พ.ย. เวลา 10.00 น. ที่ชั้น 4 ตึกภาควิชาฯ นะ และมีอาหารกลางวันเลี้ยงใต้ตึกเหมือนเดิมจ้า,1
50,ประกาศ SE เปลี่ยนห้องเรียน ตั้งแต่วันที่ 29 มกราคม จาก TAB 221 เป็น ตึกมหาวชิรุณหิต(ตึกภาค) 809/3 จ้ะ,1
51,"ประชุมสามัญของสมาคมเยาวชนสตาร์ทอัพ 
วันอาทิตย์ที่ 14 ก.ค. 62 
เวลา 13:00 - 16:00 น. 
สถานที่ True space Siam (Soi 2)",1
52,สถานที่ประชุมได้เป็น True Space สยามซอย 2 นะครับ,1
53,สรุปนัดประชุมสามัญของสมาคมเป็นวันที่ 14 กค นี้น้า ใครมาร่วมไม่ได้บ้าง,1
54,"ศึกประชันความเก๋าดวนปืนlaser ของ Startup Community ทั่วประเทศ! 
รวมทีมในหรือนอกมหาลัยก็ได้ทีมละ5คน ( อายุ 17-25 ปี)
จำนวนจำกัด รับเพียง 8 ทีมเท่านั้น (ค่าเข้าร่วมงานคนละ555บาท เล่นได้ทั้งวัน ปกติคนละ799บาท)
มีน้ำขนมและบอร์ดเกมให้กินและเล่นตลอดงาน
ทีมที่แข็งแกร่งที่สุด รับรางวัลไปเลยเงินสดมูลค่า 1,000 บาท (ด่านสุดท้ายชนะบอสได้รับไปอีก 1,000 บาท)
วางแผนธุรกิจ แล้วมาจับปืนสาดกระสุนกันได้เลย 
วันที่ : 25 สิงหาคม 2562  13.00 - 22.00 น.",1
55,FYI ล่าสุดพี่แหม่มเพิ่งทักมาเมื่อกี้ หลังจากไม่ตอบแชทมาเป็นเดือน แกบอกว่ามือถือเสีย + กำลังประสานงานต่อกับเรื่องที่ค้างหลายเรื่องล,0
56,น่าจะได้สปอนเข้า Leader Camp ด้วย,0
57,จริงๆถ้ารวมค่าจดสมาคมที่ต่างคนต่างออกอีกก็สัก 5 พันรวมๆไว้ มหาศาลอยู่โดยเฉพาะเราเดินทางไปจดทะเบียนเอง เดินทางเป็นพัน ค่าจดออกไปคนละ 500 ตอนนั้นคืนแต่ละคนด้วย อะไรพวกนี้เคลียรืกันทีเดียวตอนเงินเหลือ,0
58,ใครมีบริษัทแนะนำให้ช่วยบอกกันด้วยจะได้ช่วยกันติดต่อ,1
59,ตอนนี้ Leader Camp มีปัญหาเรื่องสปอน ได้มา 150 / 350 K ที่น้องๆอยากได้,0
60,อย่างน้อยๆตัวหลักก็น่าจะมา 5/6 คน + ผู้ดูแลโครงการปจบที่สามารถรายงานสถานการณ์ทั้งหมดและรับคำแนะนำไปทำต่อได้,0
61,เอาที่สามารถเข้าได้มากกว่า 70% ก็ได้นะ ถ้ามันครบไม่ได้จริงๆ,1
62," เสาร์ เห็นว่าเจมส์มีงานเลี้ยง ส่วนพี่มี talk ที่อิมแพคครับ
วันอาทิตย์ส่วนตัวได้",0
63,ขอนัดประชุมเป็นส หรืออา หน้า มีใครไม่สะดวกป้ะคะ,1
64,เดี่ยวกุกะเฟริสจะจัดงาน Yeah lazer community นะ,1
65,เป็ร networking ให้ได้มาคุยมาสนุกกัน,0
66,ต้องการอีก 150 เนื่องจากจัดค้างคืนงบประมาณสูง,0
67,ให้สปอน leader camp อย่างเดียว 50k,0
68,Mfec ไม่สนใย,0
69,ส่วน MFEC ได้เงินมาก็จะจัดสรรแยกให้โครงที่เหลือทั้งหมด,0
70,เดี๋ยวมาคุยนะติดธุระอยู่ พิมพ์ไว้ประมาณนี้ให้รู้กันคร่าวๆ,0
71,คือจะทำโครงการชื่อ Youth Founder รวมบริษัทที่ก่อตั้งโดยเยาวชนอายุไม่เกิน 24 / 28 อะไรประมาณนี้ แล้วทำพอร์ทว่ามาเข้าร่วมกับเรา เราจัดพิชชิ่งรวมให้นักลงทุน,0
72,คือสิ้นปีส่วนตัวมีแผนคลอดโครงการใหม่อยู่แล้ว กำลังจะเอาเข้าที่ประชุมแต่ไม่ได้ประชุมสักที,0
73,Update สถานการณ์ล่าสุด,1
74,Leader Camp ได้สปอนเซอร์จาก SET 1แสนบาท / รอส่งเอกสารฉบับจริงทำเรื่องที่ SET ตรงนี้ใครมีประสบการณ์รับเงิน SET แนะนำน้องๆไหมครับ,1
75,"และเรื่องด่วนคือ MFEC จะขอสนับสนุนสมาคมโดยให้เป็นเงิน 200,000 บาท แต่อยากได้คำตอบว่าเราจะให้อะไร MFEC บ้าง ขอเป็นระยะยาว ไม่เอาสปอนโครงการเดียวแล้ว",0
76,งั้นก็เลื่อนการประชุมไปก่อนแล้วกันนะค้า,1
77,ไว้นัดกันใหม่เดือนหน้า,0
78,เจมส์ กับเรา มีทริปทำบุญต่างจังหวัดอ่า,0
79,เสาร์นี้ว่างกันมั้ย,1
80,ขอนัดประชุมสามัญจ้า,1
81,ถ้าเกิดไปโมเดลพี่เต๊ะบอก แล้วสมาชิกเข้ามาเป็นบริษัทที่เจ้าของตั้งไม่เกินกี่ปี อายุไม่เกินเท่านี้ // มีบริษัทในมือสัก 10 เจ้า เก็บ stat ที่มากกว่าที่เราคิดไว้ เป็นมีเยาวชนไปเปิดบริษัททำสตาร์ทอัพกี่เจ้า ทำอะไรบ้าง อิมแพคกี่คน ตรงนี้่จะทำให้เรามีอำนาจต่อรองได้ดีกว่า กี่มหาลัย เข้างานกี่คน // เป็นแบบที่เราคิดกันอยู่แล้วด้วยแหล่ะว่าเราดูฝั่ง มหาลัย + startup 2 ฝั่ง แต่ยังไม่ได้แตะฝั่ง startup เท่าไหร่ // อาจเริ่มจากการลงทะเบียนข้อมูล เราเก็บ data กันเริ่มจากที่รู้จัก และ รับทั่วไป แล้ว stat ที่ได้เอาไปคุยกับองค์กรรัฐเอกชน ได้เงินสนับสนุนปริมาณที่ไม่ต้องไปขอสปอนจัดงานกันทั้งปี มันก็โอเคนะ,0
82,ถ้าคุยอะไรกับใครในนาม YEAH เอามาคุยกันในกรุ๊ปนะ จะได้ไม่คุยซ้ำกัน,0
83,พอดีไปเจอเขาในงาน techsauce แลกนามบัตรมา,0
84,เขาส่งข้อมูลมาให้ละของ shark tank,0
85,สรุปพวกเราจะได้ประชุมวันไหนกัน,1
86,รับรู้แล้วครับ เหลือเรื่องไฟนอลเอกสารครับ,0
87,ติดต่อผ่านใครนะของมหิดลตอนนี้,0
88,Approve ระดับนึงแล้วครับพี่เจมส์ เดี๋ยวพรุ่งนี้จะลองคุยกับทีมดูครับ ถ้ามีแนวโน้มจะเปลี่ยนจะแก้ไขครับ,0
89,สถานที่ระวังมีปัญหาเด้อ ถ้ายังไม่ได้ approve แล้วลงไป,0
90,"น้องปริมครับ พอดีพี่กำลังทำทะเบียนสมาคมอยู่ เท่าที่ริสออกมา มีงาน 2018-2019 ประมาณ 4 รูปแบบงาน 2-3 รอบย่อยต่องาน รายชื่อที่พี่สามารถ Access ได้มีเพียง Leader Camp 2018 เท่านั้น ขอสอบถามรายชื่อทะเบียนสมาชิกที่เข้าร่วมกิจกรรม YEAH ในมือน้องปริมหน่อยครับ  

YEAH
- Young Passionate Program
- Boost camp 2018/ Game of founder 2019
- Young Startup leader Camp
- Meetup (3 times)",0
91,มีอีกช่วงที่เสนอคือ หยุดยาวกลางเดือนหน้า,0
92,22 ไม่ได้ตอน 1.30 pm - 4.30 pm ก่อนหรือหลังจากนี้ได้,0
93,ประชุมสามัญ กรรมการควรเข้าทุกคนนะ งั้นจะสรุปเรื่องวันประชุมแล้วน้า เพราะต้องนัดล่วงหน้า 7 วัน,1
94,"เรื่อง ขอนัดประชุมสามัญประจำปี
ขอสอบถามวันที่สะดวกของกรรมการทุกคนว่าสะดวกเป็นวันธรรมดาหรือวันเสาร์อาทิตย์",1
95,อาจเชื่อม ชาลีด้วย เพราะ true lab พึ่งไปเปิดตัวที่ ABAC,0
96,น่าจะคุยทาง partner ระยะยาวไว้ด้วยนะ,0
97,จะว่าไปพวกเราส่งลิ้งฐานข้อมูลให้ในโน้ตปริมกันยังนะ,0
98,มันจัดวันธรรมดาด้วยแหล่ะ คนไม่ค่อยว่างกันหรอก,0
99,โอเช งั้นเดี๋ยวจัดการให้น้องที่กำลังจะทำโปรเจคกับเราต่อ,0
100,บัตร Techsauce ต้องส่งชื่อวันนี้แล้วใครจะไปมั้ย,0